type,blockNumber,delegator,id,indexer,logIndex,shares,tokens,eventTime,until,allocationID,epoch,subgraphDeploymentID,curationFees,from,rebateFees,isDelegator,sender,indexingRewardCut,queryFeeCut,delegationFees,amount
delegationParametersUpdateds,11520130,,0xb9afb01417c0f363b779446dd59b317ba8aafd8d598d6510eaa095e2109bace8-157,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,157,,,,,,,,,,,,,1000000.0,1000000.0,,
stakeDepositeds,11520130,,0xb9afb01417c0f363b779446dd59b317ba8aafd8d598d6510eaa095e2109bace8-158,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,158,,1243612000000000000000000,,,,,,,,,,,,,,
delegationParametersUpdateds,11520152,,0x774b5679cb78818bbb37eb9f45acbae6efdf66743a205e6f7401040a576691b8-229,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,229,,,,,,,,,,,,,890000.0,890000.0,,
allocationCreateds,11521514,,0x88e81aa40bb581fb2adbbca9c29a13315360fbf66431888712e884cf9ef34485-107,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,107,,620000000000000000000000,,,0x93f89d6fe8e88835053dc37c154191bc9a3dde24,11.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
stakeDelegates,11521751,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0x0b035858451535f7ed3388cf2183a73f5f84aaa3245f8ca907ce2649e34b7db6-30,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,30,1094500000000000000000,1094500000000000000000,,,,,,,,,,,,,,
allocationCreateds,11521825,,0x8328e7cb125953c500b00748535cbb0a00779b0cefaaf93b953f9f10a664ea43-384,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,384,,620000000000000000000000,,,0x927968e6c8cebe2d6f69d574b9ceb4b078beca42,11.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
stakeDelegates,11522585,0x40f657e85bbb5cc7beb402da315c3fe1974442bf,0xd42c3095e84a2bb3c577721544923649ffcad9385437d8b0c31a60a7b1586ebd-89,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,89,995000000000000000000,995000000000000000000,,,,,,,,,,,,,,
allocationCollecteds,11529751,,0xa7807ec226a19e05769d98b76bf598a081756026ad9ad888fbbff1c7002fa49c-296,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,296,,350987412670748874,,,0x927968e6c8cebe2d6f69d574b9ceb4b078beca42,12.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,34747753854404138,0x9fd8ac559219d4dd463193d1fb0433f7844f730f,312729784689637248,,,,,,
allocationCollecteds,11529831,,0xe48ee30cd73203580b4f9c3e079a9fb9c230ca4a9c51a1379207c057ced39bfb-264,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,264,,619137696904111205,,,0x93f89d6fe8e88835053dc37c154191bc9a3dde24,12.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,61294631993507009,0x9fd8ac559219d4dd463193d1fb0433f7844f730f,551651687941563084,,,,,,
stakeDelegates,11550583,0x950d8f1e2e0ec438573a9540ca6f74913df0aeb1,0xeaeaa9e5cf4850942ec35592147a053d1e92f7a06fc161bf33c5a3d21bf2ff3b-327,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,327,55222500000000000000000,55222500000000000000000,,,,,,,,,,,,,,
rewardsAssigneds,11612930,,0x4d45b9b55fae6f9305c6733aedd208914ad00da18c63de9fc154712292bda364-37,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,37,,,,,,25.0,,,,,,,,,,7856493076720044060000
stakeDepositeds,11612930,,0x4d45b9b55fae6f9305c6733aedd208914ad00da18c63de9fc154712292bda364-38,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,38,,6992278838280839213400,,,,,,,,,,,,,,
allocationCloseds,11612930,,0x4d45b9b55fae6f9305c6733aedd208914ad00da18c63de9fc154712292bda364-39,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,39,,620000000000000000000000,,,0x927968e6c8cebe2d6f69d574b9ceb4b078beca42,25.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
allocationCreateds,11612931,,0x4082a014d84561a9df141904847c68c946a732e904f5ca13042d1a637f28af06-190,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,190,,620000000000000000000000,,,0xe05982bd6f6e3695faf67959f25b07474ba8322a,25.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
rewardsAssigneds,11619568,,0x8c193b0afb64e8d6151247700474b4eb884bafeedf30bc62bfecd73f808c65ae-228,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,228,,,,,,26.0,,,,,,,,,,8328528724943418460000
stakeDepositeds,11619568,,0x8c193b0afb64e8d6151247700474b4eb884bafeedf30bc62bfecd73f808c65ae-229,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,229,,7412390565199642429400,,,,,,,,,,,,,,
allocationCloseds,11619568,,0x8c193b0afb64e8d6151247700474b4eb884bafeedf30bc62bfecd73f808c65ae-230,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,230,,620000000000000000000000,,,0x93f89d6fe8e88835053dc37c154191bc9a3dde24,26.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
allocationCreateds,11627242,,0x7cdb6725bc87912c2a53ba39f314add94da26801f805682420115b6fc248fc54-192,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,192,,620000000000000000000000,,,0x9def9ffcdf42c9c99bcc6c52835be2e5ea868571,27.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
stakeDepositeds,11665114,,0x986488a6d35c389eba4e184712a0535a96139b8b9374e1827257df50ad11cc1c-215,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,215,,314500799690706457,,,,,,,,,,,,,,
rebateClaimeds,11665114,,0x986488a6d35c389eba4e184712a0535a96139b8b9374e1827257df50ad11cc1c-216,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,216,,314500799690706457,,,0x927968e6c8cebe2d6f69d574b9ceb4b078beca42,32.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,38870885355031136,
stakeDelegates,11778510,0xcbb08e918e828bfd46a0e32e3365e80d7502c7d9,0x2575195906278d8346a493a4082c9cc4e131d5eacb05e4dcfe3a68d01d8e3255-285,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,285,2895065106115432857526,2985000000000000000000,,,,,,,,,,,,,,
stakeDelegatedLockeds,11780511,0xcbb08e918e828bfd46a0e32e3365e80d7502c7d9,0x85abc6b1bf79d8707caae00dd076550289e14b8ea2cf3001d8e6b59fece84379-210,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,210,2895065106115432857526,2984999999999999999999,1612318567.0,78.0,,,,,,,,,,,,
stakeDelegates,11799649,0xd45d0eb21cb9dbf86012cbd574fb66d1a2c6d800,0x6f636ff42a39d361836c3d369e5895d7a600b1e2be59598b39c7a69440d92d16-140,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,140,19300434040769552383512,19900000000000000000000,,,,,,,,,,,,,,
rewardsAssigneds,11856317,,0x771bd4c4b9754823b176a07873f3608dd97bf598274869a253ae1eaaf8476c60-232,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,232,,,,,,61.0,,,,,,,,,,10738030758283717100000
stakeDepositeds,11856317,,0x771bd4c4b9754823b176a07873f3608dd97bf598274869a253ae1eaaf8476c60-233,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,233,,9556847374872508219000,,,,,,,,,,,,,,
allocationCloseds,11856317,,0x771bd4c4b9754823b176a07873f3608dd97bf598274869a253ae1eaaf8476c60-234,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,234,,620000000000000000000000,,,0x9def9ffcdf42c9c99bcc6c52835be2e5ea868571,61.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
rewardsAssigneds,11856325,,0x3e9f98ad11aa76d3cd6ed3f922c0ba440a175e7af34848eddcdde4607ab29425-102,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,102,,,,,,61.0,,,,,,,,,,11640997067157494300000
stakeDepositeds,11856325,,0x3e9f98ad11aa76d3cd6ed3f922c0ba440a175e7af34848eddcdde4607ab29425-103,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,103,,10360487389770169927000,,,,,,,,,,,,,,
allocationCloseds,11856325,,0x3e9f98ad11aa76d3cd6ed3f922c0ba440a175e7af34848eddcdde4607ab29425-104,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,104,,620000000000000000000000,,,0xe05982bd6f6e3695faf67959f25b07474ba8322a,61.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
allocationCreateds,11856356,,0x352efff276f2f97a1f84223289f75610e0b39b46559b5073eeba0167b764a30b-319,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,319,,1240000000000000000000000,,,0x6c52eebdd9cdb3fef50a21f24f4343c3694ee28a,61.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
stakeDelegatedLockeds,11856654,0x40f657e85bbb5cc7beb402da315c3fe1974442bf,0x875dc1ad16000307ee16e7c84df5109def6e9ffec2029150964e496be4965a90-133,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,133,994999999999999990363,1057880681157946400522,1613330247.0,89.0,,,,,,,,,,,,
stakeDelegatedLockeds,11865303,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0xd7812422ad53f3439b334ce16a6d9e4226af4d9063736c083800c018955e2084-171,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,171,1094499999999999951777,1163668749273741000575,1613445221.0,90.0,,,,,,,,,,,,
stakeDelegatedWithdrawns,11968087,0xcbb08e918e828bfd46a0e32e3365e80d7502c7d9,0x8e3a5e02e01ad362290fbfcb8ff267b55f544c46db7a28a9bdef426a4e834834-129,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,129,,2984999999999999999999,,,,,,,,,,,,,,
stakeDelegates,12021701,0x8e0c59ba449ac228016dee5b1bb0990a8be7f8a6,0xb37b6ef6ed65104bfda5556edec72244f836b7eac0dfb4eeead251bedf0fbd38-41,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,41,3753469591583507658440,3990676350000000000000,,,,,,,,,,,,,,
stakeDelegatedWithdrawns,12039449,0x40f657e85bbb5cc7beb402da315c3fe1974442bf,0x9194bd7f866d9a2a7da6d19ef58bb3fab3f593fb019c451c5a8fa2875c1aee18-118,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,118,,1057880681157946400522,,,,,,,,,,,,,,
stakeDelegatedWithdrawns,12072175,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0x459473e4603b2d1a214a398d2caf7cd4322624c420ad8e94d078af618e4818f7-123,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,123,,1163668749273741000575,,,,,,,,,,,,,,
stakeDelegatedLockeds,12242961,0x8e0c59ba449ac228016dee5b1bb0990a8be7f8a6,0x654d57c2c950ca9b627f2789057e347fe8252369d839875c99fb665611ef87e9-168,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,168,3753469591583507658440,3990676349999999999999,1618467144.0,147.0,,,,,,,,,,,,
rewardsAssigneds,12299918,,0xfacd404c5849d43255f5bf4d0ae80ddad906f5acac851e2bc8694b2c97eeace1-198,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,198,,,,,,128.0,,,,,,,,,,26710879202781841040000
stakeDepositeds,12299918,,0xfacd404c5849d43255f5bf4d0ae80ddad906f5acac851e2bc8694b2c97eeace1-199,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,199,,23772682490475838525600,,,,,,,,,,,,,,
allocationCloseds,12299918,,0xfacd404c5849d43255f5bf4d0ae80ddad906f5acac851e2bc8694b2c97eeace1-200,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,200,,1240000000000000000000000,,,0x6c52eebdd9cdb3fef50a21f24f4343c3694ee28a,128.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
allocationCreateds,12299919,,0x0582d63c89f9968d119e643e2dd56fc9e7adbcbe89062ee41d3a3695bddf720c-237,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,237,,1240000000000000000000000,,,0x05618c2ace1f47ad6eda95282e317fedc1a69ac8,128.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,,,,,,
rewardsAssigneds,12315284,,0xb3b43204f81520dea22459885ac6b94e7de880808012ec53f3c13964bf5f1d31-285,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,285,,,,,,130.0,,,,,,,,,,878530808922889600000
stakeDepositeds,12315284,,0xb3b43204f81520dea22459885ac6b94e7de880808012ec53f3c13964bf5f1d31-286,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,286,,781892419941371744000,,,,,,,,,,,,,,
allocationCloseds,12315284,,0xb3b43204f81520dea22459885ac6b94e7de880808012ec53f3c13964bf5f1d31-287,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,287,,1240000000000000000000000,,,0x05618c2ace1f47ad6eda95282e317fedc1a69ac8,130.0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,,,,False,0x71ad386f301f38c41df53fcbc182b4b2ac87dd56,,,,
stakeDelegatedWithdrawns,12445797,0x8e0c59ba449ac228016dee5b1bb0990a8be7f8a6,0x178c91eacaf037cb37ef88dab7cd0b5586ce9c7b77fc59205f3b68bca33a2cfd-13,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,13,,3990676349999999999999,,,,,,,,,,,,,,
stakeDelegatedLockeds,12503583,0x950d8f1e2e0ec438573a9540ca6f74913df0aeb1,0x2d5e953cdae1aed48781ab9fd1fe47d67f203da117ae8be1d7ecea2e8bc2cc2e-204,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,204,55222500000000000000000,60961231577108159627625,1621947056.0,187.0,,,,,,,,,,,,
stakeDelegatedWithdrawns,12734214,0x950d8f1e2e0ec438573a9540ca6f74913df0aeb1,0xd14c84492b5d4964e5b4c4b4a79907d25fc5d3cd0708224fa06d5a35c04bfb69-288,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,288,,60961231577108159627625,,,,,,,,,,,,,,
