allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,12151272,106.0,0xee85bdab9f623166d2249831870b12488314a3e2fea6858e0a04457f4183dd58-108,0xd133fd8e0607f5d82c91626140495ea0a31d0398,108,,,rewardsAssigneds,,,,,,,,,,,,,6685642545872035705186,
,12179499,110.0,0x0ee9ffd9ba6a018bc1e8660c7540a55c78239b64fa2b7d2407d4dad9238d8688-103,0xd133fd8e0607f5d82c91626140495ea0a31d0398,103,,,rewardsAssigneds,,,,,,,,,,,,,55335728180195,
,12295082,127.0,0x57e7182c083950f6443ab658d8f514202b1d269b8ebd66d99eadc6c0d73dd604-211,0xd133fd8e0607f5d82c91626140495ea0a31d0398,211,,,rewardsAssigneds,,,,,,,,,,,,,8698011452527702647888,
,12328783,132.0,0x5b681edc101695f49c3e20d6a63ebed76a89360eb29cc223d80b002ca512c4ee-204,0xd133fd8e0607f5d82c91626140495ea0a31d0398,204,,,rewardsAssigneds,,,,,,,,,,,,,11462291813412624369492,
,12438819,149.0,0x01c9b093ca49ca1ffcfe016ba91dee0f3c02e49ffc4518ed03b7bcfbb6bb8a3c-120,0xd133fd8e0607f5d82c91626140495ea0a31d0398,120,,,rewardsAssigneds,,,,,,,,,,,,,15318331206639744325396,
,12438820,149.0,0xb013e69ad7f6e4ba91b065111794d22e901b41e47aa21d9256edce96dd725d1c-232,0xd133fd8e0607f5d82c91626140495ea0a31d0398,232,,,rewardsAssigneds,,,,,,,,,,,,,10990547935710338812680,
,12438847,149.0,0x9483dae5a17ae06198a7d844d68e6a77874a05f5e53cc9c852cc78df29d41727-240,0xd133fd8e0607f5d82c91626140495ea0a31d0398,240,,,rewardsAssigneds,,,,,,,,,,,,,14881963409523760240014,
,12441023,149.0,0x86d8de73ad4d517532477ef57379c989718d96dc3c4f08f83ed777b4f97e6757-378,0xd133fd8e0607f5d82c91626140495ea0a31d0398,378,,,rewardsAssigneds,,,,,,,,,,,,,15892736586627694109728,
,12528836,162.0,0xc8ce628c7b9830c076db9be56992a3c1350ca5bf4874d773f27265a73e3bed55-333,0xd133fd8e0607f5d82c91626140495ea0a31d0398,333,,,rewardsAssigneds,,,,,,,,,,,,,10685120445092985921924,
,12528838,162.0,0xe512c6a03853a652bab0dae536ab7b9219cb4f5dea6a31c931e4196dc26b2c3c-116,0xd133fd8e0607f5d82c91626140495ea0a31d0398,116,,,rewardsAssigneds,,,,,,,,,,,,,42633202007213577892935,
,12632653,178.0,0x7791a00b17863eb959e437111dca42283671d9ad21878d09188b5ab666f6f8b7-228,0xd133fd8e0607f5d82c91626140495ea0a31d0398,228,,,rewardsAssigneds,,,,,,,,,,,,,31434953697024206584080,
,12632657,178.0,0x54f0a7dc152da0f9c48e595cfd09bbff38a9e32ff6047581c7484840163fecc2-295,0xd133fd8e0607f5d82c91626140495ea0a31d0398,295,,,rewardsAssigneds,,,,,,,,,,,,,33466012183024465086420,
,12727588,192.0,0x201c513aad0faee4ef896a2cad47b9c01c09bcc5511b93607b50646862eb93d2-225,0xd133fd8e0607f5d82c91626140495ea0a31d0398,225,,,rewardsAssigneds,,,,,,,,,,,,,28497875929949243981760,
,12727919,192.0,0xa66edbbc8abdafe2b3cd0db0db24f329b7449b1f7a4f073f988efea041c9d3f8-300,0xd133fd8e0607f5d82c91626140495ea0a31d0398,300,,,rewardsAssigneds,,,,,,,,,,,,,27198489950117812130035,
,12821409,206.0,0x8c514c834eeb12304274b1dc33f1e6419d6ddac49595ac6eb34cb52f2299561b-57,0xd133fd8e0607f5d82c91626140495ea0a31d0398,57,,,rewardsAssigneds,,,,,,,,,,,,,27073037574499491841840,
,12821431,206.0,0x7ac74f6f47c4bfadc44801b201b37b0b8a1437639946f90f5a91f804876f2cc4-101,0xd133fd8e0607f5d82c91626140495ea0a31d0398,101,,,rewardsAssigneds,,,,,,,,,,,,,15990755212767518830944,
,12830339,208.0,0x5ae3dcbd8b3c8775fe6448ba362ccc28480ec9059aba29da2ec568271eda4282-237,0xd133fd8e0607f5d82c91626140495ea0a31d0398,237,,,rewardsAssigneds,,,,,,,,,,,,,3509353601949871420147,
,12864499,213.0,0x03c3d64b784ad06cae0396525978e27a6ec6a5174e03437e065a9ac36d923132-137,0xd133fd8e0607f5d82c91626140495ea0a31d0398,137,,,rewardsAssigneds,,,,,,,,,,,,,17745040642080542703471,
,12872248,214.0,0x3f194e729f17b726081175ab6a0eca3c1d2b376d69a8cf07b90edafaedf2c5cd-220,0xd133fd8e0607f5d82c91626140495ea0a31d0398,220,,,rewardsAssigneds,,,,,,,,,,,,,1746239505567264000000,
,12874718,214.0,0xa78378d69b5bd647053db805d74a2135165132d7f9cafe80687ff4ce43601900-104,0xd133fd8e0607f5d82c91626140495ea0a31d0398,104,,,rewardsAssigneds,,,,,,,,,,,,,1614712021421124000000,
,12894895,217.0,0xd97421dc3b9fedc4216f26a54c44660d756846f9b363a7de3286bb9453c4dfbd-161,0xd133fd8e0607f5d82c91626140495ea0a31d0398,161,,,rewardsAssigneds,,,,,,,,,,,,,8094168000249969445710,
,12907053,219.0,0x24699d71ef50e9f0bf32926e6c12114b0e6f59f4be3ff27434213eb763755118-248,0xd133fd8e0607f5d82c91626140495ea0a31d0398,248,,,rewardsAssigneds,,,,,,,,,,,,,3782865516074811561444,
,12907058,219.0,0x7dc6aa76a40646bed30b7ca0ad349f5eedccda97a34d0be46b2ff98fd3d3db48-228,0xd133fd8e0607f5d82c91626140495ea0a31d0398,228,,,rewardsAssigneds,,,,,,,,,,,,,13294244891771812000000,
,12907063,219.0,0xb81f0cecd123ebca02e48fd42a910e869239d53931fe68b43162eb66792afc76-318,0xd133fd8e0607f5d82c91626140495ea0a31d0398,318,,,rewardsAssigneds,,,,,,,,,,,,,18597591162814332000000,
,12951441,226.0,0x494775db0b742cb0f53eb84f505d2effdac623dc05e445d501852fda5fdb8b6e-237,0xd133fd8e0607f5d82c91626140495ea0a31d0398,237,,,rewardsAssigneds,,,,,,,,,,,,,6005828591125650000000,
,12951449,226.0,0x8495e3a3429ac3ab58e5e7665ed6859eac543f1c697eaf0c499ea41caa4af603-177,0xd133fd8e0607f5d82c91626140495ea0a31d0398,177,,,rewardsAssigneds,,,,,,,,,,,,,8927380647229250110060,
,13018443,236.0,0x9f8c95ed5b349f3e25901a45a82617a13ff1e79e137c874c73ee47f03fce22ff-27,0xd133fd8e0607f5d82c91626140495ea0a31d0398,27,,,rewardsAssigneds,,,,,,,,,,,,,17436962191907800000000,
,13021907,237.0,0x7127920901cb2638b2acf50de70b158043272970a007b1a62a9fd5920be7d40c-125,0xd133fd8e0607f5d82c91626140495ea0a31d0398,125,,,rewardsAssigneds,,,,,,,,,,,,,9830255714286853346859,
,13021919,237.0,0xfc2d8bb44a8a41cb1aacfef540d6e62b75f22a6f06e790da64e5bff3f5d9b2ee-534,0xd133fd8e0607f5d82c91626140495ea0a31d0398,534,,,rewardsAssigneds,,,,,,,,,,,,,19298374531575060000000,
,13021951,237.0,0x08257c50c08bf57b5186972629aaf3b0524f3dfaa0efbc96c7a55f5b7589cd80-342,0xd133fd8e0607f5d82c91626140495ea0a31d0398,342,,,rewardsAssigneds,,,,,,,,,,,,,17706454395972780000000,
,13138894,254.0,0x2f44c50ad3ade8b6e4e1089fbacb9bad15d2f0e3b5bfa920f0c446b1614587f2-406,0xd133fd8e0607f5d82c91626140495ea0a31d0398,406,,,rewardsAssigneds,,,,,,,,,,,,,74355728314000371064047,
,13222802,267.0,0x7ef5833eef45b137910816b76454d3a679e73dee28125e96239be5b3165a7528-342,0xd133fd8e0607f5d82c91626140495ea0a31d0398,342,,,rewardsAssigneds,,,,,,,,,,,,,5150561507048795000000,
,13222817,267.0,0xdaff6565de16d101fffdd8f74c4b7143d2b6a1e0e0e5c16c6011f7083045500c-104,0xd133fd8e0607f5d82c91626140495ea0a31d0398,104,,,rewardsAssigneds,,,,,,,,,,,,,4758119296636522500000,
,13222847,267.0,0x6f687a201c16fca6d9c460b2a97924c2ccdac2013a9584aa7aa1559e144c2e30-410,0xd133fd8e0607f5d82c91626140495ea0a31d0398,410,,,rewardsAssigneds,,,,,,,,,,,,,4286113101695440000000,
,13223003,267.0,0xf263d3afcc7a81078bb8119be0878fa05f265c4b20a30f86aeafa38317ed4348-458,0xd133fd8e0607f5d82c91626140495ea0a31d0398,458,,,rewardsAssigneds,,,,,,,,,,,,,3629239886021977500000,
,13223008,267.0,0x0cce08bfaca652789e4c4bc27a45c2191d52ce563799cfbf66531ada11511064-92,0xd133fd8e0607f5d82c91626140495ea0a31d0398,92,,,rewardsAssigneds,,,,,,,,,,,,,3252672845109050000000,
